ts,cpu_mean,memory_mean,cpu_std,memory_std,total_request_rate_mean,total_request_rate_std
00:00:00,0.13022743357238686,0.6105737193176928,0.014566999655024731,0.013330448457115368,153.63374919575415,30.771883361178418
00:01:00,0.13734507628584144,0.6105189314885255,0.015196145273545094,0.013343942435684222,143.6321872219894,26.133086371171707
00:02:00,0.13699120632084014,0.6103940131526735,0.01518779589077611,0.013616238749867726,140.71860072305893,25.470849457528455
00:03:00,0.13613768560009387,0.6103538310251486,0.015555773938019333,0.013454005911184567,142.55989089948943,27.108257565629135
00:04:00,0.13459979727882987,0.6106108663308528,0.015117837297183183,0.01334030603588207,142.00885874040674,23.547246058614977
00:05:00,0.13499251648365287,0.6108177104379845,0.014948948288729995,0.013204638513046093,145.12141516573837,26.04059129793295
00:06:00,0.1351464068097431,0.6110036393875665,0.014914031948982312,0.013165463427434333,145.07321930010337,25.948475881651465
00:07:00,0.13554841443755952,0.6108065750594511,0.015193426263250114,0.013214585481841075,144.93219604765028,23.264022700681256
00:08:00,0.13434309832240104,0.6107269026791067,0.01494446995795668,0.0133678145742699,143.58029992718917,30.821390520237962
00:09:00,0.13373861001494192,0.6105369692393438,0.014902951654558325,0.013396977008772981,146.62114158941662,27.230268554951103
00:10:00,0.1350945253701357,0.6106986049609592,0.01504674708796386,0.013330693109114429,148.32316017711366,29.459289641819588
00:11:00,0.13671114665932121,0.6108074617816923,0.014982712929540915,0.013309399213765045,148.33634692153515,31.82358681591951
00:12:00,0.136819636437921,0.6107957765761705,0.014977068562339737,0.013309344365347829,151.04634824917426,31.272495763269287
00:13:00,0.1368760097414519,0.610825486881511,0.015119454844703206,0.013310685647629607,142.85104334588476,26.227706091875483
00:14:00,0.1358911472605644,0.6109446237488615,0.01506694600200877,0.0133214279786263,145.9440662560218,32.04786374959982
00:15:00,0.1351228357645179,0.6106133916264358,0.014916379934422967,0.01348698758886333,147.06360544294668,26.81639635642625
00:16:00,0.13659134649225615,0.6107154790582099,0.015284836461464887,0.01344548570272238,145.58276331246537,25.909835861150114
00:17:00,0.13626356618589955,0.6108212268029697,0.015136714668902516,0.01338657651103713,144.14035233965103,24.230080549798352
00:18:00,0.13451454445755018,0.6108688123506225,0.014627199320247274,0.01334781012385329,143.45015517039832,24.706876652641196
00:19:00,0.13401620309061296,0.6107750034969268,0.014266339559493078,0.013334913689193487,147.44586482157356,31.8343699176142
00:20:00,0.13457794871599793,0.6107152576721748,0.014473877797690037,0.013436141721376901,151.1124647991178,29.567084638446833
00:21:00,0.1376101553682872,0.6107433620500731,0.014906181549438216,0.013464510623283184,145.90211098048812,22.718258232377128
00:22:00,0.13686398820143203,0.6107604666931529,0.014792681640635569,0.013373340530711096,147.0027399799508,27.14530226613937
00:23:00,0.13618068148542628,0.6105915546698585,0.014715127531729783,0.013525581625595274,146.36721527939588,29.882228207233375
00:24:00,0.13597555189598282,0.6105910967838902,0.014587213879015362,0.013563682586311203,144.00904281892124,24.896505184528475
00:25:00,0.13648858665201286,0.6104983299619363,0.014545181764266104,0.013539779491473064,148.72822154773934,29.77518066716441
00:26:00,0.13692876636518286,0.6105665186360513,0.014581656481942535,0.013454356728036696,149.564573081787,29.99669423422794
00:27:00,0.13504362771478615,0.6107114284255907,0.014367280738759331,0.01340816607554791,144.5226857943695,24.30515427200923
00:28:00,0.1348635446951639,0.6107907547615394,0.014302465580070128,0.01332991408878738,146.93853420093933,25.986973448441866
00:29:00,0.1352531164354954,0.6108387468414683,0.014392389341405949,0.013300723982317334,147.3937953989581,32.120565452024124
00:30:00,0.13522851315062503,0.6107028535680398,0.01455103441020259,0.01334246179286044,151.72211426170944,29.91541364713417
00:31:00,0.1389209154133443,0.6108621234815105,0.01525046786442336,0.013361102345463697,148.70148024396713,24.192749642835455
00:32:00,0.13745345361698988,0.6108316329512772,0.01531642808083465,0.013487636200731692,149.9011236289807,28.864860999475294
00:33:00,0.13541262424747305,0.610532370471641,0.014817675300745547,0.013440537441639802,148.94865887768123,27.988411339377272
00:34:00,0.13593614206760654,0.6105730620628378,0.01484367255226498,0.013399009398222113,147.33513524698287,31.339338578208206
00:35:00,0.1368756639530665,0.6107668272435168,0.015219663830869255,0.013298642438432005,215.06456819976842,94.11179025845344
00:36:00,0.1365218190553222,0.6107574159958923,0.015330591462981925,0.013232485833779265,150.90215240731226,28.119107322982877
00:37:00,0.1364254970204483,0.6109728176012443,0.015235729499401334,0.013143333037852442,150.24258699361545,28.004952057990437
00:38:00,0.13594574572592025,0.6108985373926041,0.014662234219653533,0.01327618747435681,149.94916791395303,27.320917608230083
00:39:00,0.1355296918828891,0.6107036684119057,0.014518514938737214,0.013328068935053995,149.63289872656856,25.128994558697986
00:40:00,0.13659226237412286,0.6105811580809398,0.01465682674992509,0.013470377724463736,152.39678959000514,24.831609022865745
00:41:00,0.1391212838872269,0.6105248218186488,0.015279557447028162,0.013443877436161756,151.00210771482153,22.379213771179543
00:42:00,0.13856885358990662,0.6108144742915264,0.015254790967032148,0.01332486392018505,150.06646990289738,28.84577817797789
00:43:00,0.13810059145674364,0.6109806871795588,0.015098746992972523,0.013182412990324952,148.85266321251967,29.602737031444004
00:44:00,0.13693551253616332,0.6109789251346379,0.014582570736155202,0.01319179742965134,148.76289154796325,26.523356261133088
00:45:00,0.1369217837593332,0.6109460048599369,0.014826701630766768,0.013225893723748163,153.5806752293638,24.899807036940846
00:46:00,0.13753894309891246,0.6105871690728254,0.014640442895010248,0.013402386307262223,154.5485257008167,28.103541170602146
00:47:00,0.138125122263355,0.6108016182792775,0.014916473546077278,0.013341381047489513,153.41052641162415,28.569610202364323
00:48:00,0.1376978770596673,0.6108454326228094,0.014994580172921927,0.01335541580630497,148.01619170012222,25.16136702636357
00:49:00,0.13743131663395736,0.6109813294743188,0.01515138361396119,0.013265815729862913,151.5213295154536,24.054700706964756
00:50:00,0.1391434033201552,0.6112957407972188,0.015688790340283962,0.013200008579355698,155.0525806706122,30.993797270467617
00:51:00,0.1409875415886668,0.6107516446661349,0.015968626351233126,0.013129621456071074,151.0478979744425,27.817431628194083
00:52:00,0.1407203503366441,0.6107713892236163,0.015995330941951064,0.013334095045564548,152.16674261750083,30.223021987139553
