ts,cpu_mean,memory_mean,request_rate_mean
2026-04-07 13:14:18,0.005000,0.200000,0.0
2026-04-07 13:15:18,0.000000,0.200000,0.0
2026-04-07 13:16:18,0.000000,0.200000,0.0
2026-04-07 13:17:18,0.000000,0.200000,0.0
2026-04-07 13:18:18,0.005000,0.198000,0.0
2026-04-07 13:19:18,0.000000,0.200000,0.0
2026-04-07 13:20:18,0.005000,0.202000,0.0
2026-04-07 13:21:18,0.000000,0.205000,0.0
2026-04-07 13:22:18,0.000000,0.207000,0.0
2026-04-07 13:23:18,0.000000,0.210000,0.0
2026-04-07 13:24:18,1.000000,0.207000,0.0
2026-04-07 13:25:18,1.000000,0.207000,0.0
2026-04-07 13:26:18,1.000000,0.207000,0.0
2026-04-07 13:27:18,1.000000,0.207000,0.0
2026-04-07 13:28:18,1.000000,0.207000,0.0
2026-04-07 13:29:18,1.000000,0.207000,0.0
2026-04-07 13:30:18,1.000000,0.207000,0.0
2026-04-07 13:31:18,1.000000,0.207000,0.0
2026-04-07 13:32:18,1.000000,0.207000,0.0
2026-04-07 13:33:18,1.000000,0.207000,0.0
2026-04-07 13:34:18,1.000000,0.207000,0.0
2026-04-07 13:35:18,1.000000,0.207000,0.0
2026-04-07 13:36:18,1.000000,0.207000,0.0
2026-04-07 13:37:18,1.000000,0.207000,0.0
2026-04-07 13:38:18,1.000000,0.207000,0.0
2026-04-07 13:39:18,1.000000,0.207000,0.0
2026-04-07 13:40:18,1.000000,0.207000,0.0
2026-04-07 13:41:18,1.000000,0.207000,0.0
2026-04-07 13:42:18,1.000000,0.207000,0.0
2026-04-07 13:43:18,1.000000,0.207000,0.0
2026-04-07 13:44:18,1.000000,0.207000,0.0
2026-04-07 13:45:18,1.000000,0.207000,0.0
2026-04-07 13:46:18,1.000000,0.207000,0.0
2026-04-07 13:47:18,1.000000,0.207000,0.0
2026-04-07 13:48:18,1.000000,0.207000,0.0
2026-04-07 13:49:18,1.000000,0.207000,0.0
2026-04-07 13:50:18,1.000000,0.207000,0.0
2026-04-07 13:51:18,1.000000,0.207000,0.0
2026-04-07 13:52:18,1.000000,0.207000,0.0
2026-04-07 13:53:18,1.000000,0.207000,0.0
2026-04-07 13:54:18,1.000000,0.207000,0.0
2026-04-07 13:55:18,1.000000,0.205000,0.0
2026-04-07 13:56:18,1.000000,0.205000,0.0
2026-04-07 13:57:18,1.000000,0.205000,0.0
2026-04-07 13:58:18,1.000000,0.205000,0.0
2026-04-07 13:59:18,1.000000,0.205000,0.0
2026-04-07 14:00:18,1.000000,0.205000,0.0
2026-04-07 14:01:18,1.000000,0.205000,0.0
2026-04-07 14:02:18,1.000000,0.205000,0.0
2026-04-07 14:03:18,1.000000,0.205000,0.0
2026-04-07 14:04:18,1.000000,0.205000,0.0
2026-04-07 14:05:18,1.000000,0.205000,0.0
2026-04-07 14:06:18,1.000000,0.205000,0.0
2026-04-07 14:07:18,1.000000,0.205000,0.0
2026-04-07 14:08:18,1.000000,0.205000,0.0
2026-04-07 14:09:18,0.000000,0.205000,0.0
2026-04-07 14:10:18,0.005000,0.205000,0.0
2026-04-07 14:11:18,0.005000,0.205000,0.0
2026-04-07 14:12:18,0.000000,0.205000,0.0
2026-04-07 14:13:18,0.000000,0.205000,0.0
2026-04-07 14:14:18,0.000000,0.205000,0.0
2026-04-07 14:15:18,0.000000,0.205000,0.0
2026-04-07 14:16:18,0.000000,0.205000,0.0
2026-04-07 14:17:18,0.000000,0.205000,0.0
2026-04-07 14:18:18,0.000000,0.205000,0.0
2026-04-07 14:19:18,0.000000,0.205000,0.0
2026-04-07 14:20:18,0.000000,0.205000,0.0
2026-04-07 14:21:18,0.000000,0.205000,0.0
2026-04-07 14:22:18,0.000000,0.205000,0.0
2026-04-07 14:23:18,0.000000,0.205000,0.0
2026-04-07 14:24:18,0.000000,0.205000,0.0
2026-04-07 14:25:18,0.000000,0.205000,0.0
2026-04-07 14:26:18,0.005000,0.205000,0.0
2026-04-07 14:27:18,0.000000,0.205000,0.0
2026-04-07 14:28:18,0.000000,0.205000,0.0
