ts,cpu_mean,memory_mean,request_rate_mean
2026-04-08 10:32:44,0.000000,0.183000,0.000000
2026-04-08 10:33:44,0.000000,0.183000,0.000000
2026-04-08 10:34:44,0.000000,0.184000,0.000000
2026-04-08 10:35:44,0.000000,0.184000,0.000000
2026-04-08 10:36:44,0.000000,0.184000,0.000000
2026-04-08 10:37:44,0.000000,0.184000,0.000000
2026-04-08 10:38:44,0.000000,0.184000,0.000000
2026-04-08 10:39:44,0.000000,0.184000,0.000000
2026-04-08 10:40:44,0.000000,0.184000,0.000000
2026-04-08 10:41:44,0.000000,0.184000,0.000000
2026-04-08 10:42:44,1.000000,0.193000,168.333333
2026-04-08 10:43:44,1.000000,0.219000,7169.333333
2026-04-08 10:44:44,1.000000,0.237000,7217.783333
2026-04-08 10:45:45,1.000000,0.253000,7275.083333
2026-04-08 10:46:45,1.000000,0.270000,7307.633333
2026-04-08 10:47:46,1.000000,0.287000,7345.366667
2026-04-08 10:48:48,1.000000,0.304000,7298.150000
2026-04-08 10:49:49,1.000000,0.321000,7340.816667
2026-04-08 10:50:51,1.000000,0.338000,7402.033333
2026-04-08 10:51:53,1.000000,0.356000,7363.766667
2026-04-08 10:52:55,1.000000,0.373000,7481.650000
2026-04-08 10:53:58,1.000000,0.391000,7416.700000
2026-04-08 10:55:00,1.000000,0.409000,7468.050000
2026-04-08 10:56:03,1.000000,0.425000,7427.500000
2026-04-08 10:57:05,1.000000,0.443000,7486.683333
2026-04-08 10:58:08,1.000000,0.461000,7520.833333
2026-04-08 10:59:11,1.000000,0.479000,7612.650000
2026-04-08 11:00:15,1.000000,0.496000,7552.050000
2026-04-08 11:01:19,1.000000,0.521000,8391.700000
2026-04-08 11:02:29,1.000000,0.529000,8293.216667
2026-04-08 11:03:39,1.000000,0.547000,9230.416667
2026-04-08 11:04:57,0.985000,0.573000,9656.150000
2026-04-08 11:06:19,1.000000,0.589000,11355.683333
2026-04-08 11:07:55,1.000000,0.614000,11304.200000
2026-04-08 11:09:31,1.000000,0.640000,10949.766667
2026-04-08 11:11:04,1.000000,0.665000,10815.566667
2026-04-08 11:12:36,1.000000,0.691000,10491.783333
2026-04-08 11:14:06,1.000000,0.716000,10651.450000
2026-04-08 11:15:36,1.000000,0.741000,10730.566667
2026-04-08 11:17:07,1.000000,0.767000,10901.583333
2026-04-08 11:18:39,1.000000,0.778000,11482.133333
2026-04-08 11:20:17,0.995000,0.804000,12602.250000
2026-04-08 11:22:04,1.000000,0.832000,11766.783333
2026-04-08 11:23:45,1.000000,0.860000,11800.433333
2026-04-08 11:25:25,1.000000,0.887000,12510.700000
2026-04-08 11:27:12,1.000000,0.919000,10565.183333
2026-04-08 11:28:54,0.000000,0.922000,0.000000
2026-04-08 11:30:22,0.000000,0.918000,0.000000
2026-04-08 11:31:51,0.000000,0.928000,0.000000
2026-04-08 11:33:19,0.000000,0.920000,0.000000
2026-04-08 11:34:48,0.000000,0.921000,0.000000
2026-04-08 11:36:17,0.000000,0.917000,0.000000
2026-04-08 11:37:45,0.000000,0.923000,0.000000
2026-04-08 11:39:14,0.000000,0.926000,0.000000
2026-04-08 11:40:44,0.000000,0.925000,0.000000
2026-04-08 11:42:12,0.000000,0.916000,0.000000
2026-04-08 11:43:40,0.000000,0.923000,0.000000
2026-04-08 11:45:08,0.000000,0.927000,0.000000
2026-04-08 11:46:36,0.000000,0.928000,0.000000
2026-04-08 11:48:04,0.000000,0.925000,0.000000
2026-04-08 11:49:32,0.000000,0.922000,0.000000
2026-04-08 11:51:00,0.000000,0.917000,0.000000
2026-04-08 11:52:28,0.000000,0.917000,0.000000
2026-04-08 11:53:56,0.000000,0.917000,0.000000
2026-04-08 11:55:24,0.000000,0.921000,0.000000
2026-04-08 11:56:52,0.000000,0.922000,0.000000
2026-04-08 11:58:20,0.000000,0.920000,0.000000
2026-04-08 11:59:48,0.000000,0.920000,0.000000
2026-04-08 12:01:17,0.000000,0.921000,0.000000
2026-04-08 12:02:45,0.000000,0.926000,0.000000
2026-04-08 12:04:13,0.000000,0.922000,0.000000
2026-04-08 12:05:42,0.000000,0.927000,0.000000
2026-04-08 12:07:10,0.000000,0.923000,0.000000
2026-04-08 12:08:38,0.000000,0.920000,0.000000
2026-04-08 12:10:06,0.000000,0.921000,0.000000
